Date,country,avgtemp_c,maxtemp_c,mintemp_c,totalprecip_mm,avghumidity,maxwind_kph
2015-01-04,india,24.3,28.4,20.4,0.0,62.0,14.8
2015-01-04,mexico,27.0,32.4,23.4,0.0,57.0,11.9
2015-01-05,india,26.3,30.8,22.4,0.0,58.0,19.4
2015-01-05,mexico,26.7,32.1,22.1,0.0,59.0,16.9
2015-01-06,india,25.6,30.4,22.2,0.0,63.0,16.3
2015-01-06,mexico,26.5,31.4,23.0,0.0,61.0,12.2
2015-01-07,india,24.7,29.0,21.5,0.0,62.0,16.2
2015-01-07,mexico,26.2,31.9,22.1,0.0,57.0,15.5
2015-01-08,india,24.3,29.9,20.1,0.0,59.0,13.3
2015-01-08,mexico,26.0,31.4,22.5,0.0,58.0,16.6
2015-01-09,india,25.1,30.0,20.7,0.0,44.0,13.0
2015-01-09,mexico,25.2,31.1,20.2,0.0,57.0,14.4
2015-01-10,india,24.6,29.7,20.1,0.0,36.0,17.3
2015-01-10,mexico,26.3,32.0,21.6,0.0,58.0,13.7
2015-01-11,india,24.1,29.2,19.1,0.0,38.0,13.7
2015-01-11,mexico,25.9,32.3,20.5,0.0,56.0,11.9
2015-01-12,india,23.9,30.0,17.8,0.0,38.0,15.8
2015-01-12,mexico,26.6,32.5,21.5,0.0,60.0,10.4
2015-01-13,india,23.8,31.3,18.6,0.0,40.0,15.8
2015-01-13,mexico,26.7,32.7,21.5,0.0,58.0,13.0
2015-01-14,india,23.6,29.7,18.9,0.0,49.0,14.0
2015-01-14,mexico,26.8,32.7,21.7,0.0,58.0,12.2
2015-01-15,india,23.1,29.0,18.6,0.0,51.0,13.3
2015-01-15,mexico,27.3,32.8,23.0,0.0,61.0,13.0
2015-01-16,india,24.2,29.3,19.9,0.0,47.0,11.9
2015-01-16,mexico,26.8,32.3,22.0,0.0,62.0,11.9
2015-01-17,india,24.3,29.3,20.0,0.0,46.0,11.6
2015-01-17,mexico,26.9,32.4,23.2,0.0,63.0,12.6
2015-01-18,india,24.8,30.1,20.1,0.0,48.0,13.0
2015-01-18,mexico,25.7,31.6,21.5,0.0,65.0,12.2
2015-01-19,india,24.9,29.8,21.0,0.0,55.0,16.6
2015-01-19,mexico,26.0,31.4,21.0,0.0,56.0,14.8
2015-01-20,india,24.6,29.3,19.7,0.0,57.0,16.9
2015-01-20,mexico,26.4,33.1,21.5,0.0,58.0,13.0
2015-01-21,india,24.0,29.2,19.4,0.0,57.0,14.8
2015-01-21,mexico,26.3,32.3,21.5,0.0,62.0,13.7
2015-01-22,india,24.0,29.7,18.7,0.0,68.0,14.4
2015-01-22,mexico,26.3,32.6,22.0,0.0,60.0,13.3
2015-01-23,india,23.8,29.2,19.5,0.0,68.0,19.1
2015-01-23,mexico,27.0,31.8,23.8,0.0,58.0,16.9
2015-01-24,india,24.8,29.6,21.0,0.0,62.0,13.0
2015-01-24,mexico,26.7,31.4,23.1,1.0,61.0,11.2
2015-01-25,india,25.6,30.0,21.8,0.0,58.0,19.4
2015-01-25,mexico,26.3,31.7,22.8,0.0,61.0,14.0
2015-01-26,india,25.1,29.3,21.5,0.0,57.0,18.7
2015-01-26,mexico,25.6,31.6,21.1,0.0,62.0,13.3
2015-01-27,india,24.7,29.2,20.8,0.0,59.0,19.9
2015-01-27,mexico,25.3,31.6,20.7,0.0,59.0,14.0
